BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Brokered by Serhant,Condo for sale,195000000,7,10.0,17545.0,Central Park Tower Penthouse-217 W 57th New York St Unit Penthouse,"New York, NY 10019","Central Park Tower Penthouse-217 W 57th New York St Unit PenthouseNew York, NY 10019",United States,New York,New York County,New York,West 57th Street,"217 W 57th St, New York, NY 10019, USA",40.7663935,-73.9809909
Brokered by COMPASS,Condo for sale,69000,3,1.0,445.0,2 E 55th St Unit 908W33,"Manhattan, NY 10022","2 E 55th St Unit 908W33Manhattan, NY 10022",United States,New York,New York County,New York,East 55th Street,"2 E 55th St, New York, NY 10022, USA",40.7613979,-73.9746128
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,55000000,7,2.3738608579684373,14175.0,5 E 64th St,"New York, NY 10065","5 E 64th StNew York, NY 10065",United States,New York,New York County,New York,East 64th Street,"5 E 64th St, New York, NY 10065, USA",40.7672235,-73.9698561
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,65000000,3,2.3738608579684373,15200.0,4 E 79th St,"New York, NY 10075","4 E 79th StNew York, NY 10075",United States,New York,New York County,New York,East 79th Street,"4 E 79th St, New York, NY 10075, USA",40.7765613,-73.9633167
Brokered by COMPASS,Townhouse for sale,12950000,5,4.0,3344.0,214 W 11th St,"Manhattan, NY 10014","214 W 11th StManhattan, NY 10014",United States,New York,New York County,New York,West 11th Street,"214 W 11th St, New York, NY 10014, USA",40.7363219,-74.0018035
Built by Toll Brothers,For sale,950000,1,1.0,621.0,The Rockwell # 3A,"New York, NY 10025","The Rockwell # 3ANew York, NY 10025",United States,New York,New York County,New York,West 103rd Street,"218 W 103rd St, New York, NY 10025, USA",40.7986579,-73.9679035
Brokered by Brown Harris Stevens,Condo for sale,395000,5,1.0,1000.0,110 E 71st St Unit Medical,"Manhattan, NY 10021","110 E 71st St Unit MedicalManhattan, NY 10021",United States,New York,New York County,New York,East 71st Street,"110 E 71st St, New York, NY 10021, USA",40.7700395,-73.9638872
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,55000000,8,8.0,12000.0,25 Riverside Dr,"New York, NY 10023","25 Riverside DrNew York, NY 10023",United States,New York,New York County,New York,Riverside Drive,"25 Riverside Dr, New York, NY 10023, USA",40.782238,-73.9846322
Built by Toll Brothers,For sale,2280000,2,2.0,1400.0,The Rockwell # 6E,"New York, NY 10025","The Rockwell # 6ENew York, NY 10025",United States,New York,New York County,New York,West 103rd Street,"218 W 103rd St, New York, NY 10025, USA",40.7986579,-73.9679035
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,2695000,6,5.0,4720.0,327 Convent Ave,"New York, NY 10031","327 Convent AveNew York, NY 10031",United States,New York,New York County,New York,Convent Avenue,"327 Convent Ave, New York, NY 10031, USA",40.8235127,-73.9467514
Brokered by Corcoran East Side,Townhouse for sale,24800000,6,8.0,2184.207862,45 E 74th St,"New York, NY 10021","45 E 74th StNew York, NY 10021",United States,New York,New York County,New York,East 74th Street,"45 E 74th St, New York, NY 10021, USA",40.772929,-73.9635462
Brokered by Exp Realty,House for sale,1100000,9,4.0,3276.0,421 W 154th St,"New York, NY 10032","421 W 154th StNew York, NY 10032",United States,New York,New York County,New York,West 154th Street,"421 W 154th St, New York, NY 10032, USA",40.8307115,-73.9424229
Brokered by Serhant,Condo for sale,17500000,5,6.0,5499.0,37 Warren St Unit Phcd,"New York, NY 10007","37 Warren St Unit PhcdNew York, NY 10007",United States,New York,New York County,New York,Warren Street,"37 Warren St, New York, NY 10007, USA",40.7143354,-74.0087443
"Brokered by Island Advantage Rlty, Llc",Foreclosure,1749900,5,4.0,3740.0,517 W 142nd St,"New York, NY 10031","517 W 142nd StNew York, NY 10031",United States,New York,New York County,New York,West 142nd Street,"517 W 142nd St, New York, NY 10031, USA",40.824015,-73.9502067
Brokered by COMPASS,Townhouse for sale,5000000,10,9.0,6425.0,137 W 80th St,"Manhattan, NY 10024","137 W 80th StManhattan, NY 10024",United States,New York,New York County,New York,West 80th Street,"137 W 80th St, New York, NY 10024, USA",40.7832598,-73.976047
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,56000000,11,10.0,24000.0,9 W 54th St,"New York, NY 10019","9 W 54th StNew York, NY 10019",United States,New York,New York County,New York,West 54th Street,"9 W 54th St, New York, NY 10019, USA",40.7616,-73.9761913
Built by Toll Brothers,For sale,1740000,2,2.0,1132.0,The Rockwell # 6H,"New York, NY 10025","The Rockwell # 6HNew York, NY 10025",United States,New York,New York County,New York,West 103rd Street,"218 W 103rd St, New York, NY 10025, USA",40.7986579,-73.9679035
"Brokered by Garfield, Leslie J. & Co., Inc.",Townhouse for sale,2750000,3,2.0,2184.207862,16 Gay St,"New York, NY 10014","16 Gay StNew York, NY 10014",United States,New York,New York County,New York,Gay Street,"16 Gay St, New York, NY 10014, USA",40.7336687,-74.000518
Brokered by Corcoran West Side,Townhouse for sale,3500000,6,6.0,6000.0,51 Hamilton Ter,"New York, NY 10031","51 Hamilton TerNew York, NY 10031",United States,New York,New York County,New York,Hamilton Terrace,"51 Hamilton Terrace, New York, NY 10031, USA",40.8229141,-73.9460622
Brokered by COMPASS,Townhouse for sale,39995000,4,2.3738608579684373,10582.0,145 Reade St,"Manhattan, NY 10013","145 Reade StManhattan, NY 10013",United States,New York,New York County,New York,Reade Street,"145 Reade St, New York, NY 10013, USA",40.7164224,-74.0101197
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,1250000,8,2.3738608579684373,2184.207862,246 E 58th St # Th,"New York, NY 10022","246 E 58th St # ThNew York, NY 10022",United States,New York,New York County,New York,East 58th Street,"246 E 58th St, New York, NY 10022, USA",40.7600248,-73.9653546
Brokered by Serhant,Townhouse for sale,14900000,5,5.0,2184.207862,45 W 70th St,"New York, NY 10023","45 W 70th StNew York, NY 10023",United States,New York,New York County,New York,West 70th Street,"45 W 70th St, New York, NY 10023, USA",40.7758194,-73.9785263
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,10000000,5,4.0,6800.0,166 E 64th St,"New York, NY 10065","166 E 64th StNew York, NY 10065",United States,New York,New York County,New York,East 64th Street,"166 E 64th St, New York, NY 10065, USA",40.764989,-73.9655331
Brokered by CHRISTIE'S INT.REAL ESTATE GROUP,Townhouse for sale,29200000,12,10.0,11638.0,123 E 35th St,"New York, NY 10016","123 E 35th StNew York, NY 10016",United States,New York,New York County,New York,East 35th Street,"123 E 35th St, New York, NY 10016, USA",40.747472,-73.9796788
Brokered by COMPASS,Condo for sale,2350000,1,2.0,1144.0,456 W 19th St Units 4 & 5C,"Manhattan, NY 10011","456 W 19th St Units 4 & 5CManhattan, NY 10011",United States,New York,New York County,New York,West 19th Street,"456 W 19th St, New York, NY 10011, USA",40.7449256,-74.0057175
Brokered by Serhant,Condo for sale,12000000,4,4.0,3809.0,67 Franklin St # A,"New York, NY 10013","67 Franklin St # ANew York, NY 10013",United States,New York,New York County,New York,Franklin Street,"67 Franklin St, New York, NY 10013, USA",40.7174584,-74.0038831
Brokered by Douglas Elliman - 3544 Johnson Ave,Townhouse for sale,795000,4,2.0,1440.0,42 Adrian Ave,"New York, NY 10463","42 Adrian AveNew York, NY 10463",United States,New York,New York County,New York,Adrian Avenue,"42 Adrian Ave, Bronx, NY 10463, USA",40.8767388,-73.911189
Brokered by Brooklyn Bound Realty Corp,House for sale,2295000,7,4.0,3632.0,235 W 138th St,"New York, NY 10030","235 W 138th StNew York, NY 10030",United States,New York,New York County,New York,West 138th Street,"235 W 138th St, New York, NY 10030, USA",40.8180374,-73.9436858
Brokered by Corcoran Chelsea/Flatiron,Pending,13500000,5,7.0,2184.207862,112 Waverly Pl,"New York, NY 10011","112 Waverly PlNew York, NY 10011",United States,New York,New York County,New York,Waverly Place,"112 Waverly Pl, New York, NY 10011, USA",40.7323524,-73.9993358
Brokered by COMPASS,Co-op for sale,449500,1,1.0,2184.207862,180 Thompson St Apt Ld,"Manhattan, NY 10012","180 Thompson St Apt LdManhattan, NY 10012",United States,New York,New York County,New York,Thompson Street,"180 Thompson St, New York, NY 10012, USA",40.7278952,-73.9998294
Brokered by Douglas Elliman - 1995 Broadway,Condo for sale,16500000,5,4.0,4105.0,2150 Broadway,"New York, NY 10023","2150 BroadwayNew York, NY 10023",United States,New York,New York County,New York,Broadway,"2150 Broadway, New York, NY 10023, USA",40.7814599,-73.9806864
Brokered by Douglas Elliman - 1995 Broadway,Condo for sale,16500000,5,4.0,4105.0,2150 Broadway,"New York, NY 10023","2150 BroadwayNew York, NY 10023",United States,New York,New York County,New York,Broadway,"2150 Broadway, New York, NY 10023, USA",40.7814599,-73.9806864
"Brokered by OneKey MLS LLC - Realmart Realty, LLC",Townhouse for sale,4680000,3,4.0,2400.0,128 E 38th St,"New York, NY 10016","128 E 38th StNew York, NY 10016",United States,New York,New York County,New York,East 38th Street,"128 E 38th St, New York, NY 10016, USA",40.7489947,-73.9783819
"Brokered by Sotheby's International Realty, Inc.",Townhouse for sale,5600000,6,6.0,4917.0,111 E 19th St,"New York, NY 10003","111 E 19th StNew York, NY 10003",United States,New York,New York County,New York,East 19th Street,"111 E 19th St, New York, NY 10003, USA",40.7375348,-73.9872447
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,6995000,5,2.3738608579684373,3912.0,239 E 78th St,"New York, NY 10075","239 E 78th StNew York, NY 10075",United States,New York,New York County,New York,East 78th Street,"239 E 78th St, New York, NY 10075, USA",40.7732125,-73.9564279
Brokered by Peter Ashe Real Estate- Peter Ashe Real Estate,Townhouse for sale,28500000,7,9.0,12300.0,14 E 69th St Unit Townhouse,"New York, NY 10021","14 E 69th St Unit TownhouseNew York, NY 10021",United States,New York,New York County,New York,East 69th Street,"14 E 69th St, New York, NY 10021, USA",40.7699341,-73.9675072
Brokered by Sotheby's International Realty - Downtown Manhattan,Townhouse for sale,29950000,10,13.0,8750.0,26 Washington Sq N,"New York, NY 10011","26 Washington Sq NNew York, NY 10011",United States,New York,New York County,New York,Washington Square West,"26 Washington Square W, New York, NY 10011, USA",40.7322213,-73.9986277
Brokered by Serhant,Townhouse for sale,5990000,4,4.0,3750.0,96 Bank St,"New York, NY 10014","96 Bank StNew York, NY 10014",United States,New York,New York County,New York,Bank Street,"96 Bank St, New York, NY 10014, USA",40.7363228,-74.0064402
Brokered by Corcoran East Side,Townhouse for sale,4995000,2,2.0,2000.0,51 Barrow St,"New York, NY 10014","51 Barrow StNew York, NY 10014",United States,New York,New York County,New York,Barrow Street,"51 Barrow St, New York, NY 10014, USA",40.7319679,-74.0043858
Brokered by Corcoran Park Avenue South,Pending,700000,2,1.0,2184.207862,248 E 7th St # 9/10,"New York, NY 10009","248 E 7th St # 9/10New York, NY 10009",United States,New York,New York County,New York,East 7th Street,"248 E 7th St, New York, NY 10009, USA",40.7235651,-73.9781799
Brokered by COMPASS,Condo for sale,200000,2,3.0,1260.0,2 E 55th St Unit 1136W15,"Manhattan, NY 10022","2 E 55th St Unit 1136W15Manhattan, NY 10022",United States,New York,New York County,New York,East 55th Street,"2 E 55th St, New York, NY 10022, USA",40.7613979,-73.9746128
Brokered by COMPASS,Townhouse for sale,10000000,5,2.3738608579684373,5660.0,45 W 95th St,"Manhattan, NY 10025","45 W 95th StManhattan, NY 10025",United States,New York,New York County,New York,West 95th Street,"45 W 95th St, New York, NY 10025, USA",40.791801,-73.9665998
Brokered by Corcoran West Side,Multi-family home for sale,7999000,20,10.0,2184.207862,414 Riverside Dr,"New York, NY 10025","414 Riverside DrNew York, NY 10025",United States,New York,New York County,New York,Riverside Drive,"414 Riverside Dr, New York, NY 10025, USA",40.8071701,-73.9668179
Brokered by Sotheby's International Realty - Downtown Manhattan,Townhouse for sale,25500000,5,2.3738608579684373,2184.207862,763 Greenwich St,"New York, NY 10014","763 Greenwich StNew York, NY 10014",United States,New York,New York County,New York,Greenwich Street,"763 Greenwich St, New York, NY 10014, USA",40.7361176,-74.0064866
Brokered by COMPASS,Townhouse for sale,3000000,5,2.3738608579684373,5000.0,263 W 139th St,"Manhattan, NY 10030","263 W 139th StManhattan, NY 10030",United States,New York,New York County,New York,West 139th Street,"263 W 139th St, New York, NY 10030, USA",40.819079,-73.944168
Brokered by Hudson Group Realty Network Inc,Multi-family home for sale,1500000,6,2.0,3600.0,344 W 121st St,"New York, NY 10027","344 W 121st StNew York, NY 10027",United States,New York,New York County,New York,West 121st Street,"344 W 121st St, New York, NY 10027, USA",40.8082664,-73.9550742
Brokered by CHRISTIE'S INT.REAL ESTATE GROUP,Townhouse for sale,4845000,9,6.0,5939.0,2099 Fifth Ave,"New York, NY 10035","2099 Fifth AveNew York, NY 10035",United States,New York,New York County,New York,5th Avenue,"2099 5th Ave, New York, NY 10035, USA",40.808933,-73.940052
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,16500000,2,2.0,5834.0,245 W 18th St,"New York, NY 10011","245 W 18th StNew York, NY 10011",United States,New York,New York County,New York,West 18th Street,"245 W 18th St, New York, NY 10011, USA",40.7420282,-73.9997276
Brokered by COMPASS,Townhouse for sale,1775000,6,4.0,4900.0,642 W 207th St,"Manhattan, NY 10034","642 W 207th StManhattan, NY 10034",United States,New York,New York County,New York,West 207th Street,"642 W 207th St, New York, NY 10034, USA",40.8685757,-73.9220436
Brokered by Sotheby's International Realty - Downtown Manhattan,Townhouse for sale,3850000,4,2.0,2160.0,420 E 84th St,"New York, NY 10028","420 E 84th StNew York, NY 10028",United States,New York,New York County,New York,East 84th Street,"420 E 84th St, New York, NY 10028, USA",40.7750748,-73.9496097
Brokered by Brown Harris Stevens - 1926 Broadway,Condo for sale,4500000,5,4.0,3180.0,377 Rector Pl Ph B,"Manhattan, NY 10280","377 Rector Pl Ph BManhattan, NY 10280",United States,New York,New York County,New York,Rector Place,"377 Rector Pl, New York, NY 10280, USA",40.709894,-74.017865
Brokered by COMPASS,Townhouse for sale,25000000,7,2.3738608579684373,20000.0,11 Hubert St,"Manhattan, NY 10013","11 Hubert StManhattan, NY 10013",United States,New York,New York County,New York,Hubert Street,"11 Hubert St, New York, NY 10013, USA",40.7213288,-74.0092558
Brokered by COMPASS,Townhouse for sale,14600000,6,2.3738608579684373,6630.0,122 W 73rd St,"Manhattan, NY 10023","122 W 73rd StManhattan, NY 10023",United States,New York,New York County,New York,West 73rd Street,"122 W 73rd St, New York, NY 10023, USA",40.7782059,-73.9790314
Brokered by Douglas Elliman  -111 Fifth Ave,House for sale,8500000,7,6.0,7000.0,19 Vestry St,"New York, NY 10013","19 Vestry StNew York, NY 10013",United States,New York,New York County,New York,Vestry Street,"19 Vestry St, New York, NY 10013, USA",40.7223906,-74.0075502
Brokered by Coldwell Banker Warburg,Condo for sale,7995000,3,4.0,4412.0,45 E 30th St # B,"New York, NY 10016","45 E 30th St # BNew York, NY 10016",United States,New York,New York County,New York,East 30th Street,"45 E 30th St, New York, NY 10016, USA",40.7449246,-73.9836051
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,8750000,7,8.0,5000.0,241 W 4th St,"New York, NY 10014","241 W 4th StNew York, NY 10014",United States,New York,New York County,New York,West 4th Street,"241 West 4th Street, New York, NY 10014, USA",40.7345979,-74.0029107
Brokered by Douglas Elliman  -111 Fifth Ave,Co-op for sale,2300000,2,2.0,1600.0,242 E 7th St Unit Ph,"New York, NY 10009","242 E 7th St Unit PhNew York, NY 10009",United States,New York,New York County,New York,East 7th Street,"242 E 7th St, New York, NY 10009, USA",40.7236159,-73.9781735
Brokered by Corcoran Westside Columbus,Townhouse for sale,23900000,6,2.3738608579684373,7110.0,248 W 71st St,"New York, NY 10023","248 W 71st StNew York, NY 10023",United States,New York,New York County,New York,West 71st Street,"248 W 71st St, New York, NY 10023, USA",40.7785441,-73.9840907
Brokered by Corcoran Park Slope,Condo for sale,1075000,2,2.0,2184.207862,357 W 30th St # 5/6,"New York, NY 10001","357 W 30th St # 5/6New York, NY 10001",United States,New York,New York County,New York,West 30th Street,"357 W 30th St, New York, NY 10001, USA",40.7507895,-73.9974127
"Brokered by Sotheby's International Realty, Inc.",Townhouse for sale,9950000,10,10.0,2184.207862,22 E 93rd St,"New York, NY 10128","22 E 93rd StNew York, NY 10128",United States,New York,New York County,New York,East 93rd Street,"22 E 93rd St, New York, NY 10128, USA",40.7852855,-73.9560385
Brokered by Douglas Elliman  -111 Fifth Ave,Pending,1500000,5,7.0,4384.0,815 Riverside Dr,"New York, NY 10032","815 Riverside DrNew York, NY 10032",United States,New York,New York County,New York,Riverside Drive,"815 Riverside Dr, New York, NY 10032, USA",40.8354875,-73.9459545
Brokered by Corcoran Westside Columbus,Condo for sale,3300000,2,2.0,1652.0,303 E 77th St Ph C,"New York, NY 10075","303 E 77th St Ph CNew York, NY 10075",United States,New York,New York County,New York,East 77th Street,"303 E 77th St, New York, NY 10075, USA",40.7720149,-73.9555341
"Brokered by Harlem Lofts Inc.- Harlem Lofts, Inc.",Townhouse for sale,2045000,6,4.0,3976.0,594 W 152nd St,"New York, NY 10031","594 W 152nd StNew York, NY 10031",United States,New York,New York County,New York,West 152nd Street,"594 W 152nd St, New York, NY 10031, USA",40.8305666,-73.9469641
Brokered by COMPASS,Co-op for sale,2250000,4,3.0,2184.207862,225 Central Park W Unit 422423,"Manhattan, NY 10024","225 Central Park W Unit 422423Manhattan, NY 10024",United States,New York,New York County,New York,Central Park West,"225 Central Park W, New York, NY 10024, USA",40.7830893,-73.9713177
Brokered by Douglas Elliman - 575 Madison Ave,Townhouse for sale,24990000,7,6.0,8500.0,6 Sutton Sq,"New York, NY 10022","6 Sutton SqNew York, NY 10022",United States,New York,New York County,New York,Sutton Square,"6 Sutton Square, New York, NY 10022, USA",40.7577238,-73.9597924
Brokered by COMPASS,Co-op for sale,359000,1,1.0,2184.207862,229 E 81st St Unit Gh,"Manhattan, NY 10028","229 E 81st St Unit GhManhattan, NY 10028",United States,New York,New York County,New York,East 81st Street,"229 E 81st St, New York, NY 10028, USA",40.7751786,-73.9550168
Brokered by Sotheby's International Realty - Downtown Manhattan,Townhouse for sale,11900000,6,2.3738608579684373,9075.0,328 W 108th St,"New York, NY 10025","328 W 108th StNew York, NY 10025",United States,New York,New York County,New York,West 108th Street,"328 W 108th St, New York, NY 10025, USA",40.8032028,-73.9687464
Brokered by Corcoran East Side,Townhouse for sale,10999000,5,7.0,2184.207862,132 W 81st St,"New York, NY 10024","132 W 81st StNew York, NY 10024",United States,New York,New York County,New York,West 81st Street,"132 W 81st St, New York, NY 10024, USA",40.7836212,-73.9759437
Brokered by Brown Harris Stevens - 1926 Broadway,Townhouse for sale,25000000,6,8.0,2184.207862,7 E 88th St Unit Townhouse,"Manhattan, NY 10128","7 E 88th St Unit TownhouseManhattan, NY 10128",United States,New York,New York County,New York,East 88th Street,"7 E 88th St, New York, NY 10128, USA",40.782683,-73.9586904
Brokered by COMPASS,Multi-family home for sale,6995000,20,20.0,12492.0,76 Irving Pl,"Manhattan, NY 10003","76 Irving PlManhattan, NY 10003",United States,New York,New York County,New York,Irving Place,"76 Irving Pl, New York, NY 10003, USA",40.7368035,-73.9864789
Brokered by Douglas Elliman - 575 Madison Ave,Townhouse for sale,22500000,5,6.0,8725.0,10 E 64th St,"New York, NY 10065","10 E 64th StNew York, NY 10065",United States,New York,New York County,New York,East 64th Street,"10 E 64th St, New York, NY 10065, USA",40.7669348,-73.9701575
Brokered by COMPASS,Townhouse for sale,13950000,6,6.0,6798.0,135 E 19th St,"Manhattan, NY 10003","135 E 19th StManhattan, NY 10003",United States,New York,New York County,New York,East 19th Street,"135 E 19th St, New York, NY 10003, USA",40.736891,-73.985669
Brokered by COMPASS,Townhouse for sale,3995000,8,8.0,5046.0,322 W 104th St,"Manhattan, NY 10025","322 W 104th StManhattan, NY 10025",United States,New York,New York County,New York,West 104th Street,"322 W 104th St, New York, NY 10025, USA",40.80059,-73.97071
"Brokered by Nest Seekers International, Midtown",Townhouse for sale,8950000,3,6.0,6336.0,209 E 31st St,"New York, NY 10016","209 E 31st StNew York, NY 10016",United States,New York,New York County,New York,East 31st Street,"209 E 31st St, New York, NY 10016, USA",40.7437415,-73.978774
Brokered by Elegran Real Estate And Development,Townhouse for sale,2500000,3,4.0,2201.0,240 E 29th St,"New York, NY 10016","240 E 29th StNew York, NY 10016",United States,New York,New York County,New York,East 29th Street,"240 E 29th St, New York, NY 10016, USA",40.741725,-73.9786641
Brokered by Corcoran West Side,Multi-family home for sale,34000000,3,8.0,2184.207862,217 W 21st St,"New York, NY 10011","217 W 21st StNew York, NY 10011",United States,New York,New York County,New York,West 21st Street,"217 W 21st St, New York, NY 10011, USA",40.7433901,-73.9973776
"Brokered by Nest Seekers International, Westside",Land for sale,1200000,3,2.3738608579684373,2184.207862,2316 1st Ave,"New York, NY 10035","2316 1st AveNew York, NY 10035",United States,New York,New York County,New York,1st Avenue,"2316 1st Ave., New York, NY 10035, USA",40.797735,-73.933806
Brokered by Douglas Elliman - 575 Madison Ave,Townhouse for sale,7500000,4,2.0,4250.0,167 E 80th St,"New York, NY 10075","167 E 80th StNew York, NY 10075",United States,New York,New York County,New York,East 80th Street,"167 E 80th St, New York, NY 10075, USA",40.77551,-73.957627
Brokered by Coldwell Banker Warburg,Townhouse for sale,5950000,4,4.0,2184.207862,422 E 84th St,"New York, NY 10028","422 E 84th StNew York, NY 10028",United States,New York,New York County,New York,East 84th Street,"422 E 84th St, New York, NY 10028, USA",40.7750765,-73.9495633
"Brokered by Garfield, Leslie J. & Co., Inc.",Townhouse for sale,1900000,9,5.0,5000.0,2074 Fifth Ave,"New York, NY 10035","2074 Fifth AveNew York, NY 10035",United States,New York,New York County,New York,5th Avenue,"2074 5th Ave, New York, NY 10035, USA",40.8082842,-73.9412356
Brokered by Brown Harris Stevens - 43 North Moore Street,Townhouse for sale,23000000,5,6.0,7058.0,334 W 20th St Unit Townhouse,"Manhattan, NY 10011","334 W 20th St Unit TownhouseManhattan, NY 10011",United States,New York,New York County,New York,West 20th Street,"334 W 20th St, New York, NY 10011, USA",40.7439188,-74.0014359
Brokered by Brown Harris Stevens - 43 North Moore Street,Townhouse for sale,23000000,5,6.0,7058.0,334 W 20th St Unit Townhouse,"Manhattan, NY 10011","334 W 20th St Unit TownhouseManhattan, NY 10011",United States,New York,New York County,New York,West 20th Street,"334 W 20th St, New York, NY 10011, USA",40.7439188,-74.0014359
Brokered by Corcoran East Side,House for sale,30000000,5,2.3738608579684373,6000.0,15 Bank St,"New York, NY 10014","15 Bank StNew York, NY 10014",United States,New York,New York County,New York,Bank Street,"15 Bank St, New York, NY 10014, USA",40.7371772,-74.0024577
Brokered by COMPASS,Townhouse for sale,9950000,10,10.0,8000.0,120 E 19th St,"Manhattan, NY 10003","120 E 19th StManhattan, NY 10003",United States,New York,New York County,New York,East 19th Street,"120 E 19th St, New York, NY 10003, USA",40.7369927,-73.9868876
Brokered by Corcoran East Side,Townhouse for sale,14800000,8,10.0,2184.207862,135 E 15th St,"New York, NY 10003","135 E 15th StNew York, NY 10003",United States,New York,New York County,New York,East 15th Street,"135 E 15th St, New York, NY 10003, USA",40.7345123,-73.9874441
Brokered by Vandenberg -The Townhouse Experts,Townhouse for sale,6700000,4,4.0,3740.0,51 W 95th St,"New York, NY 10025","51 W 95th StNew York, NY 10025",United States,New York,New York County,New York,West 95th Street,"51 W 95th St, New York, NY 10025, USA",40.7918625,-73.9667605
Brokered by Corcoran West Side,Co-op for sale,385000,1,1.0,2184.207862,116 Pinehurst Ave Apt B52,"New York, NY 10033","116 Pinehurst Ave Apt B52New York, NY 10033",United States,New York,New York County,New York,Pinehurst Avenue,"116 Pinehurst Ave, New York, NY 10033, USA",40.8522694,-73.939181
Brokered by COMPASS,Townhouse for sale,7950000,4,2.0,3397.0,20 Jones St,"Manhattan, NY 10014","20 Jones StManhattan, NY 10014",United States,New York,New York County,New York,Jones Street,"20 Jones St, New York, NY 10014, USA",40.7319485,-74.0025061
Brokered by Brown Harris Stevens- 3531 Johnson Avenue,House for sale,4200000,5,4.0,4480.0,164 W 88th St,"New York, NY 10024","164 W 88th StNew York, NY 10024",United States,New York,New York County,New York,West 88th Street,"164 W 88th St, New York, NY 10024, USA",40.788437,-73.9731887
Brokered by Brown Harris Stevens - 1926 Broadway,Townhouse for sale,10995000,7,6.0,9000.0,318 W 81st St Unit Townhouse,"Manhattan, NY 10024","318 W 81st St Unit TownhouseManhattan, NY 10024",United States,New York,New York County,New York,West 81st Street,"318 W 81st St, New York, NY 10024, USA",40.7858802,-73.9811894
Brokered by Sotheby's International Realty - Downtown Manhattan,Townhouse for sale,12500000,9,2.3738608579684373,10500.0,180 Second Ave,"New York, NY 10003","180 Second AveNew York, NY 10003",United States,New York,New York County,New York,2nd Avenue,"180 2nd Ave, New York, NY 10003, USA",40.7305606,-73.9859258
"Brokered by Nest Seekers International, Midtown",Condo for sale,5100000,4,2.0,2183.0,201 W 17th St Ph F,"New York, NY 10011","201 W 17th St Ph FNew York, NY 10011",United States,New York,New York County,New York,West 17th Street,"201 W 17th St, New York, NY 10011, USA",40.7408109,-73.998475
Brokered by Brown Harris Stevens,Townhouse for sale,1595000,3,8.0,2184.207862,511 W 144th St Unit Townhouse,"Manhattan, NY 10031","511 W 144th St Unit TownhouseManhattan, NY 10031",United States,New York,New York County,New York,West 144th Street,"511 W 144th St, New York, NY 10031, USA",40.8250069,-73.9486453
Brokered by COMPASS,Townhouse for sale,5500000,8,6.0,5925.0,34 MT Morris Park W,"Manhattan, NY 10027","34 MT Morris Park WManhattan, NY 10027",United States,New York,New York County,New York,Mount Morris Park West,"34 Mt Morris Park W, New York, NY 10027, USA",40.806166,-73.9448308
